Zip code,Type of Property,Price (€),Bedrooms,Living area (m²),Furnished,How many fireplaces?,Terrace,Terrace surface (m²),Garden,Garden surface (m²),Surface of the plot (m²),Number of frontages,Swimming pool,Kitchen type scale,Building condition scale,Region
9051,0,220000,1.0,60.0,0,0.0,1.0,11.0,1.0,402.07499802011563,2757.377881205674,1.0,0,1.0,3.382284797718767,3.0
9051,0,310000,2.0,90.0,0,0.0,1.0,27.0,1.0,402.07499802011563,2757.377881205674,2.0,0,1.0,3.382284797718767,3.0
9051,0,320000,2.0,90.0,0,0.0,1.0,11.0,1.0,402.07499802011563,2757.377881205674,1.0,0,1.0,3.382284797718767,3.0
9051,0,240000,1.0,63.0,0,0.0,1.0,10.0,1.0,402.07499802011563,2757.377881205674,1.0,0,1.0,3.382284797718767,3.0
9230,0,260000,1.0,87.0,0,0.0,1.0,31.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,0.9500049014802471,3.382284797718767,3.0
9230,0,330000,2.0,103.0,0,0.0,1.0,13.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,0.9500049014802471,5.0,3.0
9230,0,340000,2.0,105.0,0,0.0,1.0,13.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,5.0,3.0
9230,0,420000,3.0,134.0,0,0.0,1.0,16.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,0.9500049014802471,5.0,3.0
9230,0,300000,1.0,89.0,0,0.0,1.0,30.0,1.0,60.0,2757.377881205674,2.976151101053181,0,0.9500049014802471,3.382284797718767,3.0
9230,0,365000,2.0,105.0,0,0.0,1.0,16.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,0.9500049014802471,3.382284797718767,3.0
9230,0,385000,2.0,110.0,0,0.0,1.0,14.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,0.9500049014802471,5.0,3.0
9230,0,410000,3.0,115.0,0,0.0,1.0,12.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,5.0,3.0
9890,0,426000,3.0,148.0,0,0.0,1.0,11.0,0.0,0.0,2757.377881205674,4.0,0,1.0,5.0,3.0
1653,1,295000,3.0,120.0,0,0.0,0.0,0.0,1.0,280.0,403.0,3.0,0,1.0,2.0,3.0
8792,1,419000,3.0,185.0,0,0.0,1.0,18.028500959166895,0.0,0.0,558.0,4.0,0,1.0,3.0,3.0
1200,0,535000,4.0,140.0,0,0.0,1.0,23.0,0.0,0.0,2757.377881205674,2.0,0,1.0,5.0,2.0
1560,1,795000,4.0,315.0,0,0.0,1.0,18.028500959166895,1.0,500.0,902.0,4.0,0,1.0,5.0,3.0
2870,1,439000,4.0,282.0,0,0.0,1.0,40.0,1.0,402.07499802011563,497.0,2.0,0,1.0,1.0,3.0
